iter	Passed	Remaining
0	1	170
1	3	150
2	4	141
3	5	130
4	6	129
5	8	127
6	9	125
7	10	123
8	12	122
9	13	122
10	14	115
11	16	119
12	31	210
13	33	208
14	36	209
15	39	208
16	41	200
17	42	192
18	44	190
19	45	182
20	46	174
21	47	166
22	48	161
23	48	154
24	49	148
25	50	142
26	50	137
27	51	132
28	52	127
29	53	124
30	54	121
31	55	118
32	56	115
33	57	112
34	58	109
35	59	105
36	61	105
37	62	101
38	63	99
39	64	96
40	64	93
41	64	89
42	65	86
43	66	84
44	66	81
45	69	81
46	70	78
47	70	76
48	71	74
49	72	72
50	73	70
51	73	68
52	74	66
53	75	64
54	75	62
55	76	60
56	77	58
57	78	56
58	78	54
59	79	53
60	80	51
61	82	50
62	83	48
63	83	47
64	84	45
65	85	43
66	85	42
67	86	40
68	87	39
69	87	37
70	88	35
71	88	34
72	89	33
73	89	31
74	90	30
75	91	28
76	91	27
77	92	25
78	92	24
79	93	23
80	93	21
81	94	20
82	94	19
83	95	18
84	96	16
85	97	15
86	97	14
87	98	13
88	99	12
89	99	11
90	100	9
91	100	8
92	101	7
93	102	6
94	102	5
95	103	4
96	103	3
97	104	2
98	104	1
99	105	0
