iter	Passed	Remaining
0	113	113266
1	114	56993
2	115	38295
3	117	29212
4	118	23509
5	118	19658
6	123	17525
7	124	15404
8	124	13737
9	125	12402
10	125	11307
11	126	10396
12	126	9625
13	127	8967
14	127	8396
15	128	7894
16	128	7452
17	129	7057
18	129	6704
19	130	6386
20	130	6106
21	131	5846
22	132	5607
23	132	5389
24	134	5242
25	135	5073
26	135	4899
27	136	4737
28	136	4586
29	137	4445
30	137	4313
31	138	4189
32	139	4073
33	139	3963
34	140	3860
35	140	3762
36	141	3670
37	141	3583
38	142	3500
39	142	3421
40	143	3346
41	143	3276
42	144	3210
43	145	3159
44	146	3100
45	147	3061
46	148	3007
47	148	2954
48	149	2902
49	150	2853
50	150	2809
51	151	2766
52	152	2720
53	152	2675
54	153	2633
55	153	2591
56	154	2551
57	154	2512
58	155	2475
59	155	2439
60	156	2404
61	156	2370
62	157	2338
63	157	2306
64	158	2275
65	158	2245
66	159	2217
67	163	2243
68	164	2215
69	164	2187
70	165	2161
71	165	2135
72	166	2110
73	166	2085
74	167	2061
75	167	2038
76	168	2016
77	168	1994
78	169	1973
79	169	1951
80	170	1931
81	170	1911
82	171	1889
83	171	1870
84	172	1855
85	173	1839
86	173	1823
87	174	1809
88	175	1795
89	176	1780
90	176	1764
91	181	1787
92	181	1773
93	182	1758
94	183	1744
95	183	1730
96	184	1716
97	184	1702
98	185	1689
99	186	1675
100	186	1662
101	187	1650
102	188	1637
103	188	1625
104	189	1612
105	189	1600
106	190	1588
107	191	1577
108	194	1590
109	195	1585
110	196	1574
111	197	1564
112	197	1553
113	198	1542
114	199	1531
115	199	1521
116	200	1514
117	201	1507
118	202	1497
119	202	1486
120	203	1476
121	203	1465
122	204	1456
123	204	1446
124	205	1436
125	205	1427
126	209	1437
127	210	1432
128	211	1427
129	212	1419
130	212	1411
131	213	1402
132	213	1394
133	214	1385
134	214	1376
135	215	1369
136	216	1361
137	216	1353
138	217	1345
139	217	1338
140	218	1330
141	218	1321
142	219	1313
143	219	1306
144	220	1298
145	220	1291
146	221	1287
147	223	1284
148	224	1280
149	224	1274
150	225	1268
151	226	1261
152	226	1255
153	227	1249
154	227	1242
155	228	1236
156	229	1233
157	230	1227
158	235	1244
159	236	1242
160	237	1235
161	237	1229
162	238	1223
163	238	1218
164	239	1212
165	240	1206
166	240	1200
167	241	1194
168	241	1188
169	242	1182
170	242	1176
171	243	1171
172	243	1165
173	244	1160
174	244	1154
175	247	1156
176	248	1154
177	249	1150
178	249	1145
179	250	1139
180	250	1134
181	251	1129
182	251	1123
183	252	1118
184	252	1113
185	253	1108
186	253	1103
187	254	1098
188	254	1093
189	255	1088
190	255	1083
191	256	1079
192	257	1074
193	257	1069
194	258	1065
195	258	1060
196	259	1056
197	259	1052
198	273	1099
199	274	1096
200	274	1092
201	275	1088
202	275	1083
203	280	1095
204	282	1094
205	283	1091
206	283	1087
207	284	1083
208	285	1079
209	285	1074
210	286	1070
211	287	1068
212	289	1068
213	290	1065
214	290	1062
215	291	1059
216	292	1056
217	293	1052
218	293	1048
219	294	1044
220	295	1040
221	296	1037
222	296	1034
223	297	1030
224	298	1027
225	298	1023
226	299	1019
227	299	1015
228	301	1016
229	303	1014
230	303	1011
231	304	1008
232	305	1004
233	305	1001
234	306	997
235	307	994
236	307	991
237	308	987
238	309	984
239	310	981
240	310	978
241	311	975
242	311	971
243	312	968
244	312	964
245	313	960
246	314	957
247	315	955
248	316	953
249	316	950
250	317	946
251	317	943
252	318	940
253	318	936
254	319	933
255	319	929
256	320	926
257	320	923
258	321	920
259	322	917
260	322	913
261	323	910
262	323	907
263	324	904
264	324	900
265	325	898
266	326	895
267	326	892
268	327	889
269	327	886
270	328	883
271	328	880
272	329	877
273	329	874
274	330	871
275	330	868
276	331	865
277	332	862
278	332	859
279	333	856
280	333	853
281	334	850
282	334	848
283	335	845
284	335	842
285	336	839
286	340	846
287	341	844
288	342	841
289	343	839
290	344	838
291	344	835
292	345	834
293	346	831
294	347	829
295	347	827
296	348	824
297	349	822
298	349	819
299	350	816
300	350	814
301	351	811
302	351	809
303	353	809
304	354	807
305	354	804
306	355	802
307	355	799
308	356	797
309	356	794
310	357	791
311	357	789
312	358	786
313	359	784
314	359	781
315	360	779
316	360	777
317	361	774
318	361	772
319	362	769
320	362	767
321	363	764
322	363	762
323	364	760
324	364	757
325	365	755
326	365	753
327	366	750
328	370	756
329	371	754
330	371	751
331	372	749
332	373	747
333	373	744
334	374	742
335	374	740
336	375	737
337	375	735
338	376	733
339	376	731
340	377	729
341	378	727
342	378	725
343	379	722
344	379	720
345	380	718
346	380	716
347	381	714
348	383	714
349	384	713
350	384	711
351	385	709
352	386	708
353	387	706
354	387	704
355	388	703
356	390	702
357	391	701
358	391	699
359	392	697
360	392	695
361	393	693
362	394	691
363	394	689
364	395	687
365	399	692
366	400	690
367	401	688
368	401	686
369	402	685
370	403	683
371	404	682
372	404	680
373	405	678
374	405	676
375	406	674
376	406	672
377	407	670
378	407	668
379	408	666
380	408	664
381	409	662
382	409	660
383	410	658
384	411	657
385	412	656
386	413	654
387	413	652
388	414	650
389	414	648
390	415	646
391	415	644
392	416	642
393	416	641
394	417	639
395	417	637
396	418	635
397	418	633
398	419	631
399	419	629
400	420	628
401	420	626
402	421	624
403	422	622
404	422	621
405	423	619
406	425	619
407	425	618
408	426	616
409	426	614
410	427	612
411	427	610
412	428	609
413	429	607
414	429	605
415	430	603
416	430	602
417	431	600
418	431	598
419	432	596
420	432	595
421	433	593
422	433	591
423	434	589
424	434	588
425	435	586
426	435	584
427	436	583
428	436	581
429	437	579
430	437	578
431	442	581
432	443	580
433	443	578
434	444	577
435	444	575
436	445	573
437	445	572
438	446	570
439	446	568
440	447	567
441	448	565
442	448	563
443	449	562
444	449	560
445	450	559
446	450	557
447	451	555
448	451	554
449	452	552
450	452	551
451	453	549
452	454	549
453	455	548
454	456	546
455	456	545
456	457	543
457	457	541
458	458	540
459	459	538
460	459	537
461	460	535
462	460	534
463	461	532
464	461	531
465	462	529
466	462	528
467	463	526
468	463	525
469	464	523
470	464	522
471	465	520
472	466	519
473	466	517
474	467	516
475	468	516
476	469	514
477	470	513
478	470	511
479	471	510
480	471	508
481	472	507
482	472	505
483	473	504
484	473	502
485	474	501
486	474	500
487	475	498
488	475	497
489	476	495
490	476	494
491	477	493
492	478	491
493	478	490
494	479	488
495	479	487
496	480	485
497	480	484
498	481	483
499	481	481
500	484	482
501	484	480
502	485	479
503	486	478
504	486	476
505	487	475
506	488	474
507	488	473
508	489	471
509	489	470
510	490	469
511	490	467
512	491	466
513	492	465
514	492	463
515	493	462
516	493	461
517	494	459
518	494	458
519	495	457
520	496	456
521	497	455
522	498	454
523	499	453
524	500	452
525	500	451
526	501	449
527	501	448
528	502	447
529	502	445
530	503	444
531	503	443
532	504	441
533	504	440
534	505	439
535	505	437
536	506	436
537	506	435
538	507	434
539	507	432
540	508	431
541	509	430
542	509	428
543	513	430
544	514	429
545	515	428
546	515	427
547	516	425
548	516	424
549	517	423
550	517	421
551	518	420
552	518	419
553	519	418
554	519	416
555	520	415
556	520	414
557	521	412
558	521	411
559	522	410
560	522	409
561	523	407
562	523	406
563	524	405
564	526	405
565	527	404
566	528	403
567	529	402
568	529	401
569	530	400
570	531	399
571	532	398
572	533	397
573	534	396
574	534	395
575	535	394
576	535	392
577	536	391
578	536	390
579	537	389
580	537	387
581	538	386
582	540	386
583	541	385
584	541	384
585	542	383
586	542	382
587	543	380
588	544	379
589	544	378
590	545	377
591	545	376
592	546	374
593	546	373
594	547	372
595	547	371
596	548	370
597	548	368
598	549	367
599	549	366
600	550	365
601	550	364
602	551	363
603	551	361
604	552	360
605	553	359
606	553	358
607	554	357
608	555	356
609	555	355
610	556	354
611	556	352
612	557	351
613	557	350
614	558	349
615	558	348
616	559	347
617	559	346
618	560	344
619	560	343
620	561	342
621	561	341
622	562	340
623	564	340
624	565	339
625	566	338
626	566	337
627	567	336
628	568	335
629	568	334
630	569	333
631	570	331
632	570	330
633	571	329
634	571	328
635	572	327
636	572	326
637	573	325
638	573	324
639	574	323
640	574	321
641	575	320
642	575	319
643	576	318
644	576	317
645	578	317
646	579	316
647	580	315
648	580	314
649	581	312
650	581	311
651	582	310
652	582	309
653	583	308
654	583	307
655	584	306
656	584	305
657	585	304
658	585	303
659	586	302
660	586	301
661	587	299
662	588	298
663	588	297
664	589	296
665	589	295
666	590	294
667	590	293
668	591	292
669	595	293
670	596	292
671	596	291
672	597	290
673	598	289
674	598	288
675	599	287
676	599	286
677	600	285
678	600	283
679	601	282
680	601	281
681	602	280
682	602	279
683	603	278
684	603	277
685	604	276
686	604	275
687	605	274
688	605	273
689	607	272
690	608	272
691	609	271
692	609	270
693	610	269
694	610	268
695	611	267
696	612	266
697	612	265
698	613	263
699	613	262
700	614	261
701	614	260
702	615	259
703	615	258
704	616	257
705	616	256
706	617	255
707	617	254
708	618	253
709	618	252
710	619	251
711	619	250
712	620	249
713	623	249
714	623	248
715	624	247
716	625	246
717	625	245
718	626	244
719	626	243
720	627	242
721	627	241
722	628	240
723	628	239
724	629	238
725	629	237
726	630	236
727	630	235
728	631	234
729	631	233
730	632	232
731	632	231
732	633	230
733	633	229
734	634	228
735	634	227
736	635	226
737	638	226
738	639	225
739	639	224
740	640	223
741	640	222
742	641	221
743	641	220
744	642	219
745	642	218
746	643	217
747	643	216
748	644	215
749	644	214
750	645	214
751	646	213
752	646	212
753	647	211
754	647	210
755	648	209
756	648	208
757	649	207
758	649	206
759	650	205
760	651	204
761	652	203
762	652	202
763	653	201
764	653	200
765	654	199
766	655	199
767	655	198
768	656	197
769	656	196
770	657	195
771	657	194
772	658	193
773	658	192
774	659	191
775	660	190
776	660	189
777	661	188
778	661	187
779	662	186
780	662	185
781	663	184
782	663	183
783	664	183
784	665	182
785	666	181
786	667	180
787	667	179
788	668	178
789	668	177
790	669	176
791	669	175
792	670	174
793	670	174
794	671	173
795	671	172
796	672	171
797	673	170
798	673	169
799	674	168
800	674	167
801	675	166
802	675	165
803	677	165
804	678	164
805	679	163
806	679	162
807	680	161
808	680	160
809	681	159
810	681	158
811	682	157
812	682	157
813	683	156
814	683	155
815	684	154
816	684	153
817	685	152
818	686	151
819	686	150
820	687	149
821	687	148
822	688	148
823	688	147
824	689	146
825	689	145
826	690	144
827	691	143
828	692	142
829	692	141
830	693	141
831	693	140
832	694	139
833	695	138
834	695	137
835	696	136
836	696	135
837	697	134
838	697	133
839	698	133
840	698	132
841	699	131
842	699	130
843	700	129
844	700	128
845	701	127
846	701	126
847	702	125
848	702	125
849	703	124
850	703	123
851	704	122
852	709	122
853	709	121
854	710	120
855	710	119
856	711	118
857	712	117
858	713	117
859	713	116
860	714	115
861	715	114
862	716	113
863	716	112
864	717	111
865	717	111
866	718	110
867	718	109
868	719	108
869	720	107
870	721	106
871	722	106
872	722	105
873	723	104
874	723	103
875	724	102
876	724	101
877	725	100
878	725	99
879	726	99
880	726	98
881	727	97
882	727	96
883	728	95
884	729	94
885	729	93
886	730	93
887	730	92
888	731	91
889	731	90
890	732	89
891	732	88
892	737	88
893	738	87
894	738	86
895	739	85
896	740	85
897	741	84
898	741	83
899	742	82
900	742	81
901	743	80
902	743	79
903	744	79
904	744	78
905	745	77
906	745	76
907	746	75
908	746	74
909	747	73
910	747	73
911	749	72
912	751	71
913	751	70
914	752	69
915	752	69
916	753	68
917	753	67
918	754	66
919	754	65
920	755	64
921	755	63
922	756	63
923	756	62
924	757	61
925	757	60
926	758	59
927	759	58
928	759	58
929	760	57
930	760	56
931	761	55
932	761	54
933	762	53
934	763	53
935	764	52
936	765	51
937	765	50
938	766	49
939	766	48
940	767	48
941	767	47
942	768	46
943	768	45
944	769	44
945	769	43
946	770	43
947	770	42
948	771	41
949	772	40
950	772	39
951	773	38
952	773	38
953	774	37
954	774	36
955	775	35
956	775	34
957	776	34
958	776	33
959	780	32
960	781	31
961	782	30
962	782	30
963	783	29
964	783	28
965	784	27
966	784	26
967	785	25
968	785	25
969	786	24
970	786	23
971	787	22
972	787	21
973	788	21
974	788	20
975	789	19
976	789	18
977	790	17
978	791	16
979	791	16
980	793	15
981	794	14
982	795	13
983	796	12
984	796	12
985	797	11
986	797	10
987	798	9
988	798	8
989	799	8
990	799	7
991	800	6
992	800	5
993	801	4
994	801	4
995	802	3
996	803	2
997	803	1
998	804	0
999	804	0
